label,status,score,duration_s,final_pos_error_m,final_yaw_error_deg,max_cross_track_m,mean_cross_track_m,mean_heading_error_deg,turn_translation_total_m,turn_translation_max_m,stop_samples,oscillation_sign_changes,desired_linear_vel,lookahead_dist,approach_velocity_scaling_dist,turn_kp,turn_max_angular_speed,turn_min_angular_speed,turn_yaw_tolerance_rad,csv,plot
turn09_v024_l020_decisive,done,78.438,43.116,0.0191,0.28,0.1395,0.037,36.12,0.4721,0.1275,38,19,0.24,0.2,0.3,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155820_turn09_v024_l020_decisive.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155820_turn09_v024_l020_decisive.png
turn13_approach025,done,82.041,45.92,0.0436,0.36,0.1442,0.0385,35.34,0.4547,0.1199,33,19,0.24,0.2,0.25,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160330_turn13_approach025.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160330_turn13_approach025.png
turn10_v025_l020_decisive,done,83.138,44.96,0.0479,0.96,0.1474,0.0412,35.79,0.4794,0.1207,37,15,0.25,0.2,0.3,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155927_turn10_v025_l020_decisive.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155927_turn10_v025_l020_decisive.png
turn14_approach035,done,86.896,45.978,0.0466,2.2,0.1467,0.0434,38.57,0.4747,0.1191,49,19,0.24,0.2,0.35,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160445_turn14_approach035.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160445_turn14_approach035.png
turn11_repeat_v024_l020,done,87.596,53.103,0.0144,0.52,0.1448,0.0443,51.09,0.4875,0.1192,61,13,0.24,0.2,0.3,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160049_turn11_repeat_v024_l020.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160049_turn11_repeat_v024_l020.png
turn12_v024_l022_smoother,done,91.14,52.738,0.0126,0.1,0.1472,0.0487,51.12,0.5523,0.1205,53,15,0.24,0.22,0.32,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160207_turn12_v024_l022_smoother.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160207_turn12_v024_l022_smoother.png
turn15_final_repeat_best,done,92.604,53.497,0.0147,0.68,0.1471,0.0483,51.97,0.5604,0.1233,54,15,0.24,0.2,0.3,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160558_turn15_final_repeat_best.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_160558_turn15_final_repeat_best.png
turn06_v024_l018_decisive,done,93.014,54.478,0.0116,1.54,0.1441,0.0479,51.6,0.5557,0.1211,56,17,0.24,0.18,0.3,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155421_turn06_v024_l018_decisive.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155421_turn06_v024_l018_decisive.png
turn07_v024_l016_tighter,done,93.419,57.056,0.0146,0.18,0.1457,0.0432,49.55,0.546,0.123,48,21,0.24,0.16,0.3,2.2,1.55,0.25,0.045,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155541_turn07_v024_l016_tighter.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155541_turn07_v024_l016_tighter.png
turn04_more_aggressive_turn,done,95.416,48.76,0.0235,2.74,0.1465,0.0426,57.84,0.5063,0.1222,99,18,0.28,0.2,0.3,2.8,2.0,0.3,0.05,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155143_turn04_more_aggressive_turn.csv,C:\Users\Golde\Documents\PlatformIO\Projects\EUROBOOT\debug_runs\mission_20260806_155143_turn04_more_aggressive_turn.png
